Item,Description,Quantity,Unit Price ($),Total Price($),URL,Running Total With Tax ($)
M3 screws (50 pcs),3mm diameter counter sunk screws 8mm (2pcs),1,0.1296,6.48,https://nl.aliexpress.com/item/1005008709978631.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.2.454fftMBftMBpy&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=83f03170-c03f-4f9e-a1b3-7860960ec42c&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A83f03170-c03f-4f9e-a1b3-7860960ec42c%2Ctpp_buckets%3A668%232846%238114%231999&pdp_ext_f=%7B%22order%22%3A%2211679%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%211.96%211.80%21%21%2114.93%2113.73%21%400b884b5817817984658936804e0fbf%2112000046342342830%21rec%21NL%213328622363%21XZ%211%210%21n_tag%3A-29919%3Bd%3A9b918edc%3Bm03_new_user%3A-29895%3BpisId%3A5000000209393528&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005008709978631%7C_p_origin_prod%3A,6.48
Lithium Polymer Battery 3.7 V 500 mAh 403048 Lipo Rechargeable Battery with Wired JST Connector,LiPo Battery,1,11.6,11.6,https://www.amazon.nl/gp/product/B095W6742D/ref=ox_sc_act_title_1?smid=ASLRAS85RTYN3&th=1,11.6
12*9.5mm Mini Active Piezo Buzzers (10 pcs),12x9.5 Buzzer 1pc,1,0.694,6.94,https://nl.aliexpress.com/item/1005010321957502.html?gatewayAdapt=usa2nld4itemAdapt,1
ESP32 C3 Development Board for Arduino Seeed Studio XIAO ESP32C3,MCU,1,6.26,6.26,https://nl.aliexpress.com/item/1005006979844970.html?spm=a2g0o.productlist.main.1.37f9760dY6UkfV&algo_pvid=e796eff8-5341-4eeb-94a3-04cde44d927c&algo_exp_id=e796eff8-5341-4eeb-94a3-04cde44d927c-0&pdp_ext_f=%7B%22order%22%3A%22506%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2111.93%215.49%21%21%2190.17%2141.49%21%40211b6c1717822614569675506eeb93%2112000051688055643%21sea%21NL%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9b918edc%3Bm03_new_user%3A-29895&curPageLogUid=BNs0zElQh3h5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006979844970%7C_p_origin_prod%3A,6.26
0.96 inch OLED display module SSD1306 I2C SPI serial 128X64 LCD 4-pin white (Pin Headers soldered),OLED Display,1,2.5,2.5,https://nl.aliexpress.com/item/1005006996785298.html?spm=a2g0o.productlist.main.7.3fa6sXSnsXSn6B&algo_pvid=0320fd94-73fb-46c3-b134-a735887beb62&algo_exp_id=0320fd94-73fb-46c3-b134-a735887beb62-6&pdp_ext_f=%7B%22order%22%3A%2233299%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006996785298%22%2C%22orig_item_id%22%3A%221005007389730469%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%214.40%210.89%21%21%2133.25%216.73%21%40211b441e17822617235672929e65bb%2112000038989536071%21sea%21NL%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9b918edc%3Bm03_new_user%3A-29895%3BpisId%3A5000000205243325&curPageLogUid=Dw1SKvcomtXI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006996785298%7C_p_origin_prod%3A1005007389730469,2.5
5 pcs Encoder Switch EC11 With Push Button Switch 5-pin Plug-in 15mm Half Plump Shaft,Rotary Encoder with push button 1pc,1,0.648,3.24,https://nl.aliexpress.com/item/1005009120433387.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.13.2f7feUDoeUDoei&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=6460b935-0420-4cc0-84cc-4b231cf40f24&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A6460b935-0420-4cc0-84cc-4b231cf40f24%2Ctpp_buckets%3A668%232846%238111%231996&pdp_ext_f=%7B%22order%22%3A%22471%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%213.56%212.85%21%21%213.97%213.18%21%400b88ab7917822626711124499e10dc%2112000047989804997%21rec%21NL%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A9b918edc%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005009120433387%7C_p_origin_prod%3A,3.24
Tactile Switch 6x6x10mm Center pin 2 pins (20 pcs),6mm Tactile switches 3pcs,1,0.312,6.24,https://nl.aliexpress.com/item/1005006120482626.html?spm=a2g0o.productlist.main.1.40354ccbylfe9E&algo_pvid=6e561830-6e62-4b52-ad51-589a1727a57a&algo_exp_id=6e561830-6e62-4b52-ad51-589a1727a57a-0&pdp_ext_f=%7B%22order%22%3A%22475%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%215.41%213.62%21%21%2140.90%2127.37%21%402103864c17822638743823953ee021%2112000035862032475%21sea%21NL%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9b918edc%3Bm03_new_user%3A-29895%3BpisId%3A5000000205243325&curPageLogUid=iZrToCtnBZvV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006120482626%7C_p_origin_prod%3A,6.24
50 Pieces 2.54mm Single Row Pin Header Connector Strip 2Pin,2pin Pin Headers,1,0.107,5.35,https://nl.aliexpress.com/item/4000988113226.html?spm=a2g0o.cart.0.0.53c261d7OkfEao&mp=1&pdp_npi=6%40dis%21EUR%21EUR+1.79%21EUR+1.79%21%21EUR+1.79%21%21%21%402161390417815650514934912e10d2%2110000013202368857%21ct%21NL%213328622363%21%211%210%21&gatewayAdapt=glo2nld,5.35
20 pieces metal film resistor 470K ohm,470k ohm resistor,1,0.4595,9.19,https://nl.aliexpress.com/item/1005011814571889.html?spm=a2g0o.productlist.main.3.1b7c6511xsp3Yq&algo_pvid=1d3a1db1-713d-4efb-9de3-b824852553d3&algo_exp_id=1d3a1db1-713d-4efb-9de3-b824852553d3-2&pdp_ext_f=%7B%22order%22%3A%22123%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2116.77%218.03%21%21%21126.77%2160.68%21%40211b61bb17822653509184226ea90a%2112000056662713535%21sea%21NL%213328622363%21X%211%210%21n_tag%3A-29919%3Bd%3A9b918edc%3Bm03_new_user%3A-29895%3BpisId%3A5000000209850550&curPageLogUid=ArSjgp03ZoD7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011814571889%7C_p_origin_prod%3A,9.19
100 pcs 3mm LED Diode RGB,2 LEDs,1,0.0106,1.06,https://nl.aliexpress.com/item/1005007989424003.html?spm=a2g0o.productlist.main.4.7ca62085FxEFKQ&aem_p4p_detail=202606231847252829649531052840004049485&algo_pvid=fe6b06b1-495e-4a56-9680-0fddfabc552d&algo_exp_id=fe6b06b1-495e-4a56-9680-0fddfabc552d-3&pdp_ext_f=%7B%22order%22%3A%22551%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%210.99%210.88%21%21%211.11%210.99%21%402103894417822656452717554e1bfb%2112000043174317952%21sea%21NL%213328622363%21X%211%210%21n_tag%3A-29919%3Bd%3A9b918edc%3Bm03_new_user%3A-29895&curPageLogUid=Hn4y39cmrsXJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007989424003%7C_p_origin_prod%3A&search_p4p_id=202606231847252829649531052840004049485_1,1.06